                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
                sˈɑ̃ : s'en, cent, sans, san, cents, sent, sang
                vwˈa : voies, voit, voix, voie, voient, vois
                kˈɛl : quelles, qu'elles, quelle, quels, quel, qu'elle
                 dˈi : dits, die, di, dis, dit, d'y
                  ˈo : eau, haut, eaux, aux, hauts, au
             akɔʁdˈe : accordés, accordé, accordée, accorder, accordées
          kɔ̃sideʁˈe : considéré, considérées, considérée, considérer, considérés
             anɔ̃sˈe : annoncées, annoncer, annoncés, annoncé, annoncée
            pʁɔpozˈe : proposer, proposées, proposé, proposée, proposés
                klˈe : clefs, clé, claes, clés, clef
            ʁezɛʁvˈe : réservée, réservés, réserver, réservé, réservées
                kˈɑ̃ : qu'en, camps, quand, quant, camp
                 nˈe : nez, nés, née, né, n'ai
              lɑ̃sˈe : lancés, lancé, lancées, lancée, lancer
            ɛ̃teɡʁˈe : intégrer, intégrées, intégrée, intégrés, intégré
            ɛ̃vɛstˈi : investi, investie, investies, investit, investis
             aplikˈe : appliqué, appliquées, appliquer, appliquée, appliqués
         ʁəpʁezɑ̃tˈe : représenté, représentées, représentée, représenter, représentés
           ɛ̃teʁɛsˈe : intéressées, intéressé, intéressée, intéressés, intéresser
               pɛjˈe : payée, payées, payé, payés, payer
              fiksˈe : fixée, fixé, fixées, fixer, fixés
           ɔʁɡanizˈe : organisée, organiser, organisé, organisées, organisés
            ytilizˈe : utiliser, utilisées, utilisé, utilisés, utilisée
               aʃtˈe : achetée, acheté, achetées, acheter, achetés
                vˈɛʁ : verres, vers, vert, verts, verre
               kʁeˈe : créé, créer, créées, créés, créée
             limitˈe : limitées, limités, limiter, limitée, limité
         pʁivileʒjˈe : privilégiés, privilégiées, privilégié, privilégier, privilégiée
            ʁealizˈe : réaliser, réalisé, réalisées, réalisés, réalisée
              ʃaʁʒˈe : chargée, chargé, chargées, charger, chargés
              plasˈe : placer, placé, placées, placée, placés
             adaptˈe : adaptés, adaptée, adaptées, adapter, adapté
            ɛ̃stalˈe : installée, installer, installées, installés, installé
              sityˈe : situer, situées, situés, située, situé
            devlɔpˈe : développer, développés, développé, développées, développée
          ɑ̃ʁʒistʁˈe : enregistrée, enregistré, enregistrés, enregistrer, enregistrées
            efɛktyˈe : effectués, effectuée, effectuées, effectuer, effectué
                 ˈɛl : elle, ailes, elles, el, l
             etablˈi : établis, établie, établies, établit, établi
             pybliˈe : publiée, publiés, publier, publiées, publié
               kˈɔ̃t : compte, comptes, conte, comptent, comte
               aplˈe : appelée, appelé, appelées, appeler, appelés
               pasˈe : passée, passées, passé, passer, passés
                kˈuʁ : courent, courts, court, cour, cours
              vɛʁsˈe : verser, versé, versés, versée, versées
                ʒˈɑ̃ : gens, jeans, jan, jean, j'en
              fuʁnˈi : fournit, fournies, fournie, fourni, fournis
           pʁezɑ̃tˈe : présenté, présentée, présentées, présenter, présentés
             ɛ̃pozˈe : imposée, imposé, imposer, imposées, imposés
               ʒyʒˈe : jugée, jugées, jugé, juger, jugés
            ɡaʁɑ̃tˈi : garanti, garantie, garantis, garantit, garanties
             avɑ̃sˈe : avancer, avancés, avancé, avancée, avancées
               dɔnˈe : donné, donner, donnée, données, donnés
                bˈaʁ : bar, bars, barres, barre, bart
        tʁadisjɔnˈɛl : traditionnelles, traditionnelle, traditionnels, traditionnel
              ɑ̃vˈɛʁ : anvers, envers
             kɔ̃tˈɑ̃ : comptant, content
              epʁˈøv : épreuve, épreuves
            dɑ̃ʒʁˈøz : dangereuse, dangereuses
            kapitˈal : capitale, capital
       mɔdifikasjˈɔ̃ : modification, modifications
                 ʒˈe : g, j'ai
            ɔʁɡanˈiz : organise, organisent
               tˈuʁn : tournent, tourne
             abitˈɑ̃ : habitant, habitants
             maladˈi : maladie, maladies
            italjˈɛ̃ : italien, italiens
          sɑ̃sasjˈɔ̃ : sensations, sensation
                lˈa- : la, las
               pyˈis : puisse, puissent
              paʁlˈe : parlé, parler
              ɡʁˈɑ̃d : grande, grandes
             pʁəmjˈe : premiers, premier
              esɛjˈe : essayer, essayé
           pʁiɔʁitˈe : priorité, priorités
              tˈɛkst : textes, texte
           tʁimˈɛstʁ : trimestre, trimestres
           aksɛswˈaʁ : accessoire, accessoires
                 ʃˈo : chauds, chaud
            ʁealˈist : réalistes, réaliste
       pʁeɔkypasjˈɔ̃ : préoccupations, préoccupation
         spesjalitˈe : spécialité, spécialités
           pʁɔfɛsˈœʁ : professeurs, professeur
             ʁevelˈe : révélé, révéler
            ʒyʁidˈik : juridique, juridiques
         fedeʁasjˈɔ̃ : fédérations, fédération
                 fˈu : fou, fous
                 kˈa : cas, qu'a
           kɔ̃tʁibˈy : contribuent, contribue
               ekˈɔl : écoles, école
              banˈal : banal, banale
               pˈist : piste, pistes
              plˈɛ̃t : plaintes, plainte
           otomatˈik : automatiques, automatique
                pʁˈi : pris, prix
              masˈif : massif, massifs
                bˈɛ̃ : bain, bains
            ɡʁatyˈit : gratuites, gratuite
               kwˈɛ̃ : coins, coin
               tʁˈas : traces, trace
               vˈɑ̃t : ventes, vente
              famˈij : familles, famille
                utˈi : outil, outils
             kɔ̃pˈoz : compose, composent
                 tˈe : t, thé
               sedˈe : cédé, céder
          elɛktɔʁˈal : électoral, électorale
               pˈɛʁl : perle, perles
             paʁfˈœ̃ : parfums, parfum
             vizˈibl : visibles, visible
             syivˈɑ̃ : suivant, suivants
             istwˈaʁ : histoire, histoires
               fymˈe : fumée, fumé
        ɑ̃tʁəpʁənˈœʁ : entrepreneur, entrepreneurs
                tˈɔ̃ : ton, tons
          kɔ̃tʁibyˈe : contribué, contribuer
                kˈav : caves, cave
         depaʁtəmˈɑ̃ : départements, département
              madˈam : madame, mme
                ʃˈyt : chutes, chute
              movˈɛz : mauvaises, mauvaise
             sɛ̃bˈɔl : symboles, symbole
            plasmˈɑ̃ : placement, placements
              avɔkˈa : avocats, avocat
              ʁəɡˈaʁ : regard, regards
       ɔʁɡanizasjˈɔ̃ : organisation, organisations
        ʁɑ̃buʁsəmˈɑ̃ : remboursements, remboursement
              tablˈo : tableau, tableaux
         adaptasjˈɔ̃ : adaptation, adaptations
             pɔʁtˈœʁ : porteur, porteurs
           fɔ̃ksjˈɔn : fonctionne, fonctionnent
             ɛɡzˈist : existent, existe
             kɔ̃kʁˈɛ : concrets, concret
              vjˈɑ̃d : viandes, viande
           ɑ̃pʁœ̃tˈe : emprunté, emprunter
             pjɔnjˈe : pionniers, pionnier
         pɛʁfɔʁmˈɑ̃s : performances, performance
                øʁˈo : euro, euros
             ljɛzˈɔ̃ : liaison, liaisons
             puvwˈaʁ : pouvoir, pouvoirs
             vizyˈɛl : visuelle, visuel
            salaʁjˈe : salariés, salarié
           demisjˈɔ̃ : d'émission, démission
             ʃɛʁʃˈœʁ : chercheur, chercheurs
              dulˈœʁ : douleurs, douleur
               fˈiʁm : firme, firmes
         myltimedjˈa : multimédia, multimédias
             bʁɑ̃ʃˈe : branché, brancher
            satisfˈɛ : satisfaits, satisfait
            stasjˈɔ̃ : stations, station
               mˈɔ̃d : mondes, monde
                ʁˈaʁ : rare, rares
              bʁəvˈɛ : brevets, brevet
               aʒˈut : ajoute, ajoutent
              pilˈɔt : pilote, pilotes
           davɑ̃tˈaʒ : davantage, d'avantages
              ʁəfˈyz : refusent, refuse
               kɔpˈi : copie, copies
            ʁepɑ̃dˈy : répandue, répandu
          benefisjˈe : bénéficié, bénéficier
               vɔlˈe : volés, voler
              dɛsˈɛ̃ : dessin, dessins
            pozitˈif : positifs, positif
           benefisˈi : bénéficie, bénéficient
              kɔmˈœ̃ : communs, commun
         kɔ̃petitˈif : compétitifs, compétitif
             pʁydˈɑ̃ : prudent, prudents
              minˈœʁ : mineurs, mineur
            flamˈɑ̃d : flamandes, flamande
            asyʁˈɑ̃s : assurance, assurances
               sitˈy : situe, situent
        deklaʁasjˈɔ̃ : déclarations, déclaration
                fˈiʃ : fiches, fiche
            ʃɑ̃ʒmˈɑ̃ : changements, changement
             ɛ̃tˈɛʁn : interne, internes
      ɛ̃fʁastʁyktˈyʁ : infrastructure, infrastructures
             davjˈɔ̃ : d'avion, d'avions
               kˈɔʁd : corde, cordes
               bˈɛlʒ : belges, belge
               kadˈo : cadeaux, cadeau
              animˈe : animés, animé
            kɔmɑ̃dˈe : commander, commandé
                fˈij : fille, filles
              ɛstˈim : estime, estiment
        kɔ̃pozisjˈɔ̃ : compositions, composition
              sypˈɔʁ : support, supports
             muvmˈɑ̃ : mouvements, mouvement
               ljˈɔ̃ : lyon, lion
          ɛ̃teʁɛsˈɑ̃ : intéressant, intéressants
              kɔmˈyn : commune, communes
            pʁesizˈe : préciser, précisé
             ɛɡzˈakt : exact, exacte
              etwˈal : étoiles, étoile
               aksˈe : axée, axé
         paʁtikyljˈe : particulier, particuliers
               mˈask : masque, masques
               ɡʁˈɛ̃ : grains, grain
          diʁɛksjˈɔ̃ : direction, directions
           tʁɑ̃spˈɔʁ : transports, transport
             tɛknˈik : techniques, technique
             mɔdˈɛst : modestes, modeste
            ɛ̃pozˈɑ̃ : imposant, imposent
               byʁˈo : bureau, bureaux
               tˈɛʁm : terme, termes
                ʒˈak : jacques, jack
            ɔlɛ̃pˈik : olympique, olympiques
           kɔmedjˈɛ̃ : comédiens, comédien
            kɔ̃danˈe : condamnés, condamné
              vitˈɛs : vitesses, vitesse
                ʁˈut : route, routes
           dɔmɛstˈik : domestique, domestiques
           ɛ̃dividˈy : individus, individu
             pʁɔpˈoz : propose, proposent
               plˈɑ̃ : plan, plans
                bˈɛs : baisses, baisse
               klˈœb : clubs, club
             ɑ̃sjˈɛn : anciennes, ancienne
         aplikasjˈɔ̃ : applications, application
               dʁwˈa : droit, droits
            afʁikˈɛ̃ : africain, africains
             manaʒˈe : manager, managers
                vˈal : valent, val
               ɡʁˈav : graves, grave
           fabʁikˈɑ̃ : fabricant, fabricants
            neɡatˈiv : négative, négatives
              ekulˈe : écoulée, écoulé
               səʁˈa : cera, sera
          alimɑ̃tˈɛʁ : alimentaires, alimentaire
                 ˈyn : une, unes
          kɔ̃disjˈɔ̃ : conditions, condition
             kʁitˈik : critique, critiques
            nesɛsˈɛʁ : nécessaires, nécessaire
          kɔ̃syltˈɑ̃ : consultants, consultant
                sˈɛʁ : sert, serre
             emɛtˈœʁ : émetteurs, émetteur
           sɑ̃ksjˈɔ̃ : sanctions, sanction
              ɛɡzˈiʒ : exigent, exige
              sovˈaʒ : sauvage, sauvages
             pʁɔfˈit : profite, profitent
          telefɔnˈik : téléphonique, téléphoniques
              dɑ̃ʒˈe : danger, dangers
             sɛʁtˈɛ̃ : certain, certains
          kɔ̃sɛptˈœʁ : concepteurs, concepteur
      kɔ̃sideʁasjˈɔ̃ : considération, considérations
          ʁəpʁezˈɑ̃t : représente, représentent
                ɛdˈe : aidé, aider
        syplemɑ̃tˈɛʁ : supplémentaire, supplémentaires
      paʁtisipasjˈɔ̃ : participation, participations
        spesifisitˈe : spécificités, spécificité
             pʁɔvˈɔk : provoque, provoquent
           pozisjˈɔ̃ : position, positions
             deɡaʒˈe : dégager, dégagé
                ʒˈøn : jeunes, jeune
             leɡlˈiz : l'église, l'eglise
            mɛ̃tjˈɛ̃ : maintient, maintien
        devalyasjˈɔ̃ : dévaluation, d'évaluation
               myzˈe : musée, musées
               etˈaʒ : étages, étage
           ʃɑ̃pjɔnˈa : championnat, championnats
           bʁitanˈik : britannique, britanniques
               filˈɛ : filets, filet
             ɔkypˈɑ̃ : occupants, occupant
               stˈaʒ : stages, stage
        kɔ̃sɛʁvatˈœʁ : conservateur, conservateurs
            pozitˈiv : positives, positive
             pʁepˈaʁ : prépare, préparent
            aʁɡymˈɑ̃ : arguments, argument
            dinamˈik : dynamique, dynamiques
             dɑ̃fˈɑ̃ : d'enfant, d'enfants
               emˈiz : émises, émise
               pəzˈe : pesé, peser
            kɔ̃binˈe : combiner, combiné
            ekipmˈɑ̃ : équipements, équipement
                ʃˈod : chaudes, chaude
        kɔlɛksjɔnˈœʁ : collectionneurs, collectionneur
        pʁepaʁasjˈɔ̃ : préparations, préparation
             deklˈaʁ : déclarent, déclare
             efikˈas : efficace, efficaces
             fʁekˈɑ̃ : fréquent, fréquents
              plˈɑ̃t : plante, plantes
               ɡˈɔlf : golf, golfe
               ʒˈɔʁʒ : george, georges
                 ʁˈi : ris, riz
              ʁeʒˈim : régime, régimes
             sɛktˈœʁ : secteur, secteurs
             sɛʁvˈis : service, services
           ɑ̃bisjˈɔ̃ : ambition, ambitions
        ɛ̃stalasjˈɔ̃ : installations, installation
           pʁɔɡʁɛsˈe : progresser, progressé
              paʁˈɑ̃ : parent, parents
          stʁateʒˈik : stratégique, stratégiques
                mˈiz : mises, mise
              lakˈyn : lacunes, lacune
            sɑ̃sˈibl : sensibles, sensible
           desizjˈɔ̃ : décisions, décision
               ʁaʃˈa : rachat, rachats
              ʁymˈœʁ : rumeurs, rumeur
            kɔ̃sjˈɑ̃ : conscients, conscient
              ʁaplˈe : rappeler, rappelé
               defˈi : défi, défis
         ʁeflɛksjˈɔ̃ : réflexion, réflexions
              metjˈe : métier, métiers
              dəɡʁˈe : degrés, degré
               ymˈɛn : humaines, humaine
              sˈɔ̃bʁ : sombres, sombre
               mˈaʁʒ : marge, marges
         kɔ̃klyzjˈɔ̃ : conclusions, conclusion
             almˈɑ̃d : allemande, allemandes
               dˈubl : double, doubles
              dɔsjˈe : dossier, dossiers
           maʒistʁˈa : magistrat, magistrats
               ʁˈɛst : reste, restent
                kˈɔd : codes, code
          ɛ̃peʁatˈif : impératif, impératifs
             bʁijˈɑ̃ : brillants, brillant
         ʁɛspɔ̃sˈabl : responsables, responsable
          manifɛstˈe : manifesté, manifester
               sɛzˈi : saisi, saisie
            avɑ̃tˈyʁ : aventures, aventure
               sˈikl : cycle, cycles
              eʃapˈe : échappé, échapper
           tuʁistˈik : touristique, touristiques
         ɛ̃vɛstisˈœʁ : investisseur, investisseurs
              blˈɑ̃ʃ : blanche, blanches
            plastˈik : plastique, plastiques
           pʁesedˈɑ̃ : précédent, précédents
             dəvwˈaʁ : devoir, devoirs
                nyˈi : nuit, nuits
              ɛspʁˈi : esprits, esprit
             diminˈy : diminue, diminuent
         pʁɔpʁietˈɛʁ : propriétaires, propriétaire
                ˈaks : axe, axes
              pasˈaʒ : passages, passage
         ʁepaʁasjˈɔ̃ : réparations, réparation
                 ˈɔʁ : or, hors
             pʁevwˈa : prévoit, prévoient
             kɔ̃tʁˈa : contrat, contrats
          ʒɛstjɔnˈɛʁ : gestionnaire, gestionnaires
               spˈɔʁ : sports, sport
                yˈil : huile, huiles
             desɛnˈi : décennie, décennies
           ɛɡzɛʁsˈis : exercice, exercices
                nˈœf : neufs, neuf
              lekˈɔl : l'ecole, l'école
             ɛ̃skʁˈi : inscrits, inscrit
            idɑ̃tˈik : identique, identiques
            ɔpinjˈɔ̃ : opinion, opinions
           ɛɡzekytˈe : exécuté, exécuter
       ameljɔʁasjˈɔ̃ : amélioration, améliorations
             dɑ̃tʁˈe : d'entrée, d'entrer
          ʒeɔɡʁafˈik : géographiques, géographique
            kɑ̃didˈa : candidats, candidat
                atˈu : atouts, atout
            kɔmɑ̃sˈe : commencer, commencé
         labɔʁatwˈaʁ : laboratoires, laboratoire
             mwajˈɛ̃ : moyens, moyen
            ʃɑ̃pjˈɔ̃ : champions, champion
           ɑ̃ʁʒˈistʁ : enregistre, enregistrent
              ʁəmˈiz : remise, remises
               tˈɔ̃b : tombent, tombe
             pɛizˈaʒ : paysage, paysages
        spɛktakylˈɛʁ : spectaculaires, spectaculaire
           kɔtidjˈɛ̃ : quotidien, quotidiens
             mwˈɛ̃dʁ : moindres, moindre
              detˈaj : détail, détails
             ɛ̃sitˈe : inciter, incité
               bjˈɛ̃ : biens, bien
           aʁʃitˈɛkt : architectes, architecte
              fajˈit : faillite, faillites
               fˈɛʁm : fermes, ferme
          pʁɔdyktˈœʁ : producteurs, producteur
        ɛ̃kɔ̃venjˈɑ̃ : inconvénients, inconvénient
          ɔpeʁasjˈɔ̃ : opération, opérations
               bˈɑ̃k : banque, banques
       ɛ̃tʁɔdyksjˈɔ̃ : introductions, introduction
         bʁyksɛlwˈaz : bruxelloises, bruxelloise
                alˈɛ : allait, allaient
             faktˈyʁ : factures, facture
               pətˈi : petits, petit
                ɛzˈe : aisée, aisé
            skɑ̃dˈal : scandales, scandale
               pˈɔst : poste, postes
               səʁˈɛ : seraient, serait
            dɑ̃plwˈa : d'emplois, d'emploi
            similˈɛʁ : similaires, similaire
        kɔ̃tʁibyˈabl : contribuables, contribuable
              dekˈɛl : desquels, desquelles
              ʁiskˈe : risqué, risquer
               evˈɔk : évoquent, évoque
             djamˈɑ̃ : diamants, diamant
        pʁɔpozisjˈɔ̃ : propositions, proposition
             manˈœvʁ : manoeuvre, manoeuvres
                sˈɛk : secs, sec
              mɔmˈɑ̃ : moments, moment
              ʃəmˈiz : chemise, chemises
             ʁəmˈaʁk : remarques, remarque
                ʒuˈɛ : jouets, jouet
            kɔ̃sˈɛʁv : conserve, conservent
             aspˈɛkt : aspect, aspects
               paʁˈi : pari, paris
             pasjˈɑ̃ : patients, patient
            pʁɛsjˈɔ̃ : pressions, pression
               nɔmˈe : nommer, nommé
               swˈɛ̃ : soins, soin
            feminˈɛ̃ : féminins, féminin
            daksjˈɔ̃ : d'action, d'actions
        kɔ̃pɔʁtəmˈɑ̃ : comportements, comportement
            ɔbsɛʁvˈe : observer, observé
                vˈaɡ : vague, vagues
           kɔ̃vɛ̃kˈy : convaincus, convaincu
            maɡazˈin : magazine, magazines
               aʁˈiv : arrive, arrivent
          pʁɔfɛsjˈɔ̃ : professions, profession
            mɔbiljˈe : mobiliers, mobilier
              apˈɔʁt : apportent, apporte
               yzˈaʒ : usage, usages
           demɔ̃tʁˈe : démontré, démontrer
             ytilˈiz : utilisent, utilise
            kɔ̃panˈi : compagnies, compagnie
              tɔtˈal : totale, total
             sɛɡmˈɑ̃ : segments, segment
             kɔʁˈɛkt : correcte, correct
              sɛlˈyl : cellule, cellules
            ʁɛspˈɛkt : respect, respecte
            ʁənɔ̃sˈe : renoncer, renoncé
               kˈuʁs : course, courses
              ʁapˈid : rapide, rapides
          kɔnɛksjˈɔ̃ : connexions, connexion
             pʁezˈɑ̃ : présents, présent
               kˈupl : couples, couple
            kɔ̃tˈɑ̃t : contentent, contente
              tʁuvˈɛ : trouvait, trouvaient
        ynivɛʁsitˈɛʁ : universitaire, universitaires
               ʒyˈif : juif, juifs
                vˈɔ̃ : von, vont
      manifɛstasjˈɔ̃ : manifestations, manifestation
                lˈɛs : laissent, laisse
              fʁapˈe : frappé, frapper
             libeʁˈe : libéré, libérer
              metˈɔd : méthode, méthodes
             abityˈe : habitué, habitués
               sɛsˈe : cesser, cessé
            kʁeatˈœʁ : créateur, créateurs
               dˈotʁ : d'autres, d'autre
        kɔ̃petisjˈɔ̃ : compétition, compétitions
              tɔmˈat : tomates, tomate
        tʁimɛstʁiˈɛl : trimestriels, trimestriel
               ʃˈaʁʒ : charge, charges
             flamˈɑ̃ : flamands, flamand
                ɡˈɛʁ : guerres, guerre
             səɡˈɔ̃d : seconde, secondes
         elɛktʁɔnˈik : électroniques, électronique
            ʁezyltˈa : résultat, résultats
               bʁˈik : brique, briques
             memwˈaʁ : mémoire, mémoires
            ʁadikˈal : radical, radicale
          ɛɡzistˈɑ̃t : existante, existantes
            maɡazˈɛ̃ : magasin, magasins
           kapasitˈe : capacités, capacité
           nɔtasjˈɔ̃ : notation, notations
               kˈaʁt : carte, cartes
             ɛɡziʒˈe : exigé, exiger
             mɔdˈɛʁn : moderne, modernes
                sˈɔl : sol, sols
               mˈɛɡʁ : maigres, maigre
            ɔʁdinˈɛʁ : ordinaire, ordinaires
              ekʁˈɑ̃ : écrans, écran
          statistˈik : statistique, statistiques
              ʁɔmˈɑ̃ : romans, roman
           tʁɑ̃sfˈɛʁ : transfert, transferts
         ɔbliɡasjˈɔ̃ : obligations, obligation
              ʁamnˈe : ramener, ramené
           kɔnɛsˈɑ̃s : connaissance, connaissances
             fɔʁmˈyl : formules, formule
             lwazˈiʁ : loisir, loisirs
             maʁjˈaʒ : mariage, mariages
               plˈɛ̃ : pleins, plein
            nykleˈɛʁ : nucléaires, nucléaire
           tʁavajˈœʁ : travailleurs, travailleur
             ʁedyˈit : réduite, réduites
               eʁˈik : eric, erik
            pʁɔfitˈe : profiter, profité
              amˈɑ̃d : amende, amendes
             paʁtˈaʒ : partage, partagent
              saʒˈut : s'ajoutent, s'ajoute
           manifˈɛst : manifestent, manifeste
              mɑ̃dˈa : mandat, mandats
             vwatˈyʁ : voitures, voiture
           sɑ̃timˈɑ̃ : sentiments, sentiment
            distˈɑ̃s : distance, distances
                lˈɑ̃ : lent, l'an
            ʒapɔnˈɛz : japonaises, japonaise
      administʁatˈiv : administratives, administrative
           dasyʁˈɑ̃s : d'assurance, d'assurances
             apaʁˈɛj : appareil, appareils
           səɡɔ̃dˈɛʁ : secondaires, secondaire
           vɛʁsəmˈɑ̃ : versement, versements
              ʁɛzˈɔ̃ : raison, raisons
           detɑ̃tˈœʁ : détenteurs, détenteur
               vˈɑ̃d : vande, vendent
           kɔ̃tinyˈe : continué, continuer
             fɛblˈɛs : faiblesses, faiblesse
               blˈɑ̃ : blanc, blancs
             faktˈœʁ : facteur, facteurs
              avwˈaʁ : avoirs, avoir
               lˈɛtʁ : lettre, lettres
             bwasˈɔ̃ : boissons, boisson
              aʒˈɑ̃s : agence, agences
             kɔstˈym : costumes, costume
               efˈɔʁ : effort, efforts
              eʃˈɑ̃ʒ : échanges, échange
             tʁezˈɔʁ : trésor, trésors
              ʁəsˈɛt : recette, recettes
          ɛ̃tɛʁvənˈy : intervenue, intervenu
             analˈiz : analyse, analyses
             evɔlyˈe : évolué, évoluer
         ɛ̃depɑ̃dˈɑ̃ : indépendants, indépendant
               ɡʁˈɑ̃ : grand, grands
        ɛkspozisjˈɔ̃ : expositions, exposition
             ɑ̃dʁwˈa : endroits, endroit
             aljˈɑ̃s : alliances, alliance
         ɡuvɛʁnəmˈɑ̃ : gouvernement, gouvernements
            sypʁimˈe : supprimer, supprimé
                kˈɔl : col, colle
              papjˈe : papiers, papier
               etˈap : étapes, étape
              butˈik : boutique, boutiques
               lˈɑ̃s : lance, lancent
         benefisjˈɛʁ : bénéficiaires, bénéficiaire
                kˈɔ̃ : qu'on, qu'ont
          inisjatˈiv : initiative, initiatives
             siklˈik : cycliques, cyclique
                 ˈœʁ : heure, heures
             ʁediʒˈe : rédigé, rédiger
               ljˈɛ̃ : lien, liens
               lˈuʁd : lourde, lourdes
              kuʁˈɑ̃ : courant, courants
                lˈɔʁ : l'or, lors
                fˈœj : feuille, feuilles
                 ˈot : haute, hautes
             dekˈuvʁ : découvrent, découvre
            vaʁjetˈe : variétés, variété
            ɔkazjˈɔ̃ : occasion, occasions
              sɔlˈɛʁ : solaire, solaires
             mɛ̃tnˈy : maintenue, maintenu
          sɔfistikˈe : sophistiqués, sophistiqué
            ɛkstˈɛʁn : externes, externe
              miljˈø : milieux, milieu
               danˈe : d'années, d'année
             fyzjˈɔ̃ : fusion, fusions
             ɛɡzˈɛʁs : exercent, exerce
        dɛstinasjˈɔ̃ : destination, destinations
         kɔ̃paʁɛzˈɔ̃ : comparaisons, comparaison
                ɡˈam : gammes, gamme
             kɔmitˈe : comités, comité
              nipˈɔ̃ : nippon, nippons
          ʁəmaʁkˈabl : remarquables, remarquable
           lɔʒisjˈɛl : logiciels, logiciel
              minˈyt : minutes, minute
             etɑ̃dˈy : étendue, étendu
             ʃinwˈaz : chinoise, chinoises
             stydjˈo : studios, studio
                dˈɛt : dette, dettes
                lˈiʁ : lires, lire
             diskˈɛt : disquettes, disquette
               vaʁˈi : varie, varient
               atˈɛ̃ : atteint, atteints
       dɛ̃vɛstismˈɑ̃ : d'investissement, d'investissements
                pˈys : puce, puces
       ɛ̃tɛʁvɑ̃sjˈɔ̃ : intervention, interventions
             absɔlˈy : absolue, absolu
              maʃˈin : machines, machine
            kɔ̃tʁˈɛ̃ : contraint, contraints
               fəzˈɛ : faisait, faisaient
            pʁɔfˈɔ̃d : profondes, profonde
                tˈuʁ : tour, tours
              ynitˈe : unités, unité
              ɛ̃klˈy : inclut, inclus
               tˈaks : taxes, taxe
              fizˈik : physiques, physique
              yʁbˈɛ̃ : urbains, urbain
             seʁjˈøz : sérieuse, sérieuses
          sysɛptˈibl : susceptible, susceptibles
           livʁɛzˈɔ̃ : livraisons, livraison
             sysitˈe : suscité, susciter
                 bˈa : bat, bas
                kˈoz : cause, causes
             ʁapˈɔʁt : rapportent, rapporte
              ɛ̃dˈik : indique, indiquent
           ɔbʒɛktˈif : objectif, objectifs
           veʁitˈabl : véritables, véritable
                tʁˈɛ : traits, trait
              fwajˈe : foyers, foyer
             peʁjˈɔd : période, périodes
               vɔtˈe : voter, voté
                sˈœʁ : soeur, soeurs
               mˈɑ̃ʃ : manches, manche
            pɔʁtˈabl : portables, portable
                sˈə- : se, ce
            analˈist : analyste, analystes
            syivˈɑ̃t : suivante, suivantes
             aʁtˈikl : articles, article
            ɛɡzamˈɛ̃ : examens, examen
              ʃɑ̃ʒˈe : changer, changé
              tɛstˈe : tester, testé
             demˈaʁʃ : démarches, démarche
               kaʁˈe : carrés, carré
           sitwajˈɛ̃ : citoyen, citoyens
            difeʁˈɑ̃ : différent, différents
             bʁɔʃˈyʁ : brochure, brochures
          ɛksɛpsjˈɔ̃ : exception, exceptions
            ɛ̃stitˈy : instituts, institut
               eʃˈɛk : échec, échecs
          kɔ̃sekˈɑ̃s : conséquences, conséquence
          pʁekosjˈɔ̃ : précaution, précautions
          ɔʁdinatˈœʁ : ordinateurs, ordinateur
               bˈuʁs : bourse, bourses
            ɛɡzɔtˈik : exotique, exotiques
          tɛknɔlɔʒˈi : technologies, technologie
         tɛknɔlɔʒˈik : technologique, technologiques
           disiplˈin : disciplines, discipline
         dɑ̃tʁəpʁˈiz : d'entreprises, d'entreprise
          pʁɔmɔsjˈɔ̃ : promotions, promotion
               sˈuʁs : sources, source
          fʁɑ̃kɔfˈɔn : francophones, francophone
                ʃˈɔk : choc, chocs
           kateɡɔʁˈi : catégories, catégorie
           dividˈɑ̃d : dividende, dividendes
             ʒyʁˈist : juriste, juristes
               ʒeˈɑ̃ : géant, géants
               tˈɛst : tests, test
             nasjˈɔ̃ : nations, nation
            medjˈɔkʁ : médiocres, médiocre
              ɔʁɡˈan : organes, organe
              fasˈil : facile, faciles
